sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,cd_fac,cd_range,value,stats_year,raw_d_year,pop_year
41190,부천시,Bucheon-si,41,경기도,Gyeonggi-do,1,0.750,735112,2022,202210,202210
41210,광명시,Gwangmyeong-si,41,경기도,Gyeonggi-do,1,0.750,229290,2022,202210,202210
41220,평택시,Pyeongtaek-si,41,경기도,Gyeonggi-do,1,0.750,387402,2022,202210,202210
41250,동두천시,Dongducheon-si,41,경기도,Gyeonggi-do,1,0.750,64915,2022,202210,202210
41271,안산시 상록구,"Sangnok-gu, Ansan-si",41,경기도,Gyeonggi-do,1,0.750,294802,2022,202210,202210
41273,안산시 단원구,"Danwon-gu, Ansan-si",41,경기도,Gyeonggi-do,1,0.750,220195,2022,202210,202210
41281,고양시 덕양구,"Deogyang-gu, Goyang-si",41,경기도,Gyeonggi-do,1,0.750,335566,2022,202210,202210
41285,고양시 일산동구,"Ilsandong-gu, Goyang-si",41,경기도,Gyeonggi-do,1,0.750,173602,2022,202210,202210
41287,고양시 일산서구,"Ilsanseo-gu, Goyang-si",41,경기도,Gyeonggi-do,1,0.750,205987,2022,202210,202210
41290,과천시,Gwacheon-si,41,경기도,Gyeonggi-do,1,0.750,36831,2022,202210,202210
41310,구리시,Guri-si,41,경기도,Gyeonggi-do,1,0.750,143528,2022,202210,202210
41360,남양주시,Namyangju-si,41,경기도,Gyeonggi-do,1,0.750,395227,2022,202210,202210
41370,오산시,Osan-si,41,경기도,Gyeonggi-do,1,0.750,167438,2022,202210,202210
41390,시흥시,Siheung-si,41,경기도,Gyeonggi-do,1,0.750,374525,2022,202210,202210
41410,군포시,Gunpo-si,41,경기도,Gyeonggi-do,1,0.750,222961,2022,202210,202210
41430,의왕시,Uiwang-si,41,경기도,Gyeonggi-do,1,0.750,104401,2022,202210,202210
41450,하남시,Hanam-si,41,경기도,Gyeonggi-do,1,0.750,232583,2022,202210,202210
41461,용인시 처인구,"Cheoin-gu, Yongin-si",41,경기도,Gyeonggi-do,1,0.750,94443,2022,202210,202210
41463,용인시 기흥구,"Giheung-gu, Yongin-si",41,경기도,Gyeonggi-do,1,0.750,262041,2022,202210,202210
41465,용인시 수지구,"Suji-gu, Yongin-si",41,경기도,Gyeonggi-do,1,0.750,238648,2022,202210,202210
41480,파주시,Paju-si,41,경기도,Gyeonggi-do,1,0.750,193013,2022,202210,202210
41500,이천시,Icheon-si,41,경기도,Gyeonggi-do,1,0.750,84494,2022,202210,202210
41550,안성시,Anseong-si,41,경기도,Gyeonggi-do,1,0.750,96258,2022,202210,202210
41570,김포시,Gimpo-si,41,경기도,Gyeonggi-do,1,0.750,298107,2022,202210,202210
41590,화성시,Hwaseong-si,41,경기도,Gyeonggi-do,1,0.750,433862,2022,202210,202210
41610,광주시,Gwangju-si,41,경기도,Gyeonggi-do,1,0.750,80009,2022,202210,202210
41630,양주시,Yangju-si,41,경기도,Gyeonggi-do,1,0.750,94745,2022,202210,202210
41650,포천시,Pocheon-si,41,경기도,Gyeonggi-do,1,0.750,39614,2022,202210,202210
41670,여주시,Yeoju-si,41,경기도,Gyeonggi-do,1,0.750,28189,2022,202210,202210
41800,연천군,Yeoncheon-gun,41,경기도,Gyeonggi-do,1,0.750,14084,2022,202210,202210
41820,가평군,Gapyeong-gun,41,경기도,Gyeonggi-do,1,0.750,9827,2022,202210,202210
41830,양평군,Yangpyeong-gun,41,경기도,Gyeonggi-do,1,0.750,9702,2022,202210,202210
42110,춘천시,Chuncheon-si,42,강원도,Gangwon-do,1,0.750,179319,2022,202210,202210
42130,원주시,Wonju-si,42,강원도,Gangwon-do,1,0.750,134497,2022,202210,202210
42150,강릉시,Gangneung-si,42,강원도,Gangwon-do,1,0.750,85973,2022,202210,202210
42170,동해시,Donghae-si,42,강원도,Gangwon-do,1,0.750,45054,2022,202210,202210
42190,태백시,Taebaek-si,42,강원도,Gangwon-do,1,0.750,10667,2022,202210,202210
42210,속초시,Sokcho-si,42,강원도,Gangwon-do,1,0.750,53686,2022,202210,202210
42230,삼척시,Samcheok-si,42,강원도,Gangwon-do,1,0.750,25030,2022,202210,202210
42720,홍천군,Hongcheon-gun,42,강원도,Gangwon-do,1,0.750,757,2022,202210,202210
42730,횡성군,Hoengseong-gun,42,강원도,Gangwon-do,1,0.750,12497,2022,202210,202210
42750,영월군,Yeongwol-gun,42,강원도,Gangwon-do,1,0.750,13656,2022,202210,202210
42760,평창군,Pyeongchang-gun,42,강원도,Gangwon-do,1,0.750,5744,2022,202210,202210
42770,정선군,Jeongseon-gun,42,강원도,Gangwon-do,1,0.750,8624,2022,202210,202210
42780,철원군,Cheorwon-gun,42,강원도,Gangwon-do,1,0.750,13516,2022,202210,202210
42790,화천군,Hwacheon-gun,42,강원도,Gangwon-do,1,0.750,4069,2022,202210,202210
42800,양구군,Yanggu-gun,42,강원도,Gangwon-do,1,0.750,5566,2022,202210,202210
42810,인제군,Inje-gun,42,강원도,Gangwon-do,1,0.750,11639,2022,202210,202210
42820,고성군,Goseong-gun,42,강원도,Gangwon-do,1,0.750,5814,2022,202210,202210
42830,양양군,Yangyang-gun,42,강원도,Gangwon-do,1,0.750,4349,2022,202210,202210
43111,청주시 상당구,"Sangdang-gu, Cheongju-si",43,충청북도,Chungcheongbuk-do,1,0.750,136574,2022,202210,202210
43112,청주시 서원구,"Seowon-gu, Cheongju-si",43,충청북도,Chungcheongbuk-do,1,0.750,146375,2022,202210,202210
43113,청주시 흥덕구,"Heungdeok-gu, Cheongju-si",43,충청북도,Chungcheongbuk-do,1,0.750,200172,2022,202210,202210
43114,청주시 청원구,"Cheongwon-gu, Cheongju-si",43,충청북도,Chungcheongbuk-do,1,0.750,135849,2022,202210,202210
43130,충주시,Chungju-si,43,충청북도,Chungcheongbuk-do,1,0.750,129817,2022,202210,202210
43150,제천시,Jecheon-si,43,충청북도,Chungcheongbuk-do,1,0.750,82953,2022,202210,202210
43720,보은군,Boeun-gun,43,충청북도,Chungcheongbuk-do,1,0.750,1969,2022,202210,202210
43730,옥천군,Okcheon-gun,43,충청북도,Chungcheongbuk-do,1,0.750,10084,2022,202210,202210
43740,영동군,Yeongdong-gun,43,충청북도,Chungcheongbuk-do,1,0.750,4094,2022,202210,202210
